"V1","V2","cluster"
0.223740965640335,0.071204515207803,1
0.323689063369768,0.0921607258241565,1
0.336282788392965,0.109926799413467,1
0.392919725101054,0.104627580632839,1
0.236327415067556,0.12752673322409,1
0.312777949266231,0.123650905899522,1
0.345539673598488,0.214647399146806,1
0.321142359672242,0.262961109089271,1
0.294385678773192,0.038524447610679,1
0.278894378536405,0.163486599699621,1
0.337806865157626,0.178434009574306,1
0.359797091486258,0.177773215025325,1
0.382418289107599,0.076954509302539,1
0.337335616628786,0.161826586301061,1
0.326854597750373,0.190942352774236,1
0.294277200094135,0.130230091555712,1
0.214846529782223,0.0997395379282451,1
0.270922220504192,0.215202861151396,1
0.249996169476733,0.186663817659148,1
0.234113449304454,0.0674585327713208,1
0.340497984893435,0.180823879069484,1
0.34916258169854,0.127908550561649,1
0.2693462667015,0.274096630351286,1
0.373061995876668,0.243819148483552,1
0.275349279909373,0.157805737039921,1
0.246254589230653,0.104232929649462,1
0.334989475661544,0.242226914337175,1
0.376388873314037,0.227406965072268,1
0.22385581528941,0.235108279591323,1
0.361417295719714,0.252329908389558,1
0.237157105385398,0.261044774318436,1
0.332335838296511,0.181405876917613,1
0.373422362163979,0.111727289582328,1
0.212977047513504,0.147718751517146,1
0.233426358917765,0.182386250120103,1
0.368686668294252,0.07812677581485,1
0.360461059856442,0.262156117455321,1
0.278988625795564,0.253568385109839,1
0.39338506840019,0.123647151031316,1
0.331127006259202,0.22198462509295,1
0.350508598843873,0.230821736560307,1
0.387740496975937,0.0841405869482051,1
0.352072849959432,0.250434119384922,1
0.362470463978822,0.187256759920915,1
0.355772587261316,0.274042418833165,1
0.337111901617378,0.181202276472878,1
0.339732352230228,0.110764555566038,1
0.362384781003117,0.193544949688049,1
0.224298173581589,0.137005662310963,1
0.38091430773979,0.186493120867821,1
0.296225319192112,0.114466089724603,1
0.312872328639408,0.209576771100948,1
0.361719822964202,0.125833246998808,1
0.343385667737439,0.263398644297651,1
0.257450582064426,0.182861881323532,1
0.221754728585777,0.141464027754938,1
0.255605429073155,0.0330182273647248,1
0.306344922791155,0.0321360747706628,1
0.293000580668725,0.241708936933452,1
0.2436764432613,0.229634252738811,1
0.656251342398772,0.331273429963517,2
0.725948897810844,0.258780300565941,2
0.646602377789266,0.240607407203272,2
0.665855514408785,0.323467300198466,2
0.751713685100621,0.119132916222911,2
0.733700488219514,0.141650524635151,2
0.631935347269505,0.190605546432418,2
0.639998829455452,0.253765527982312,2
0.621636157807261,0.282431914302884,2
0.711786165942125,0.197929457914973,2
0.674407382020254,0.174882790232439,2
0.638769956811976,0.315729088443112,2
0.687434155380358,0.144855976681489,2
0.716164055442771,0.149910958530077,2
0.717429698086022,0.332291969582919,2
0.70651447563245,0.10339779650883,2
0.68583119020863,0.113331287510208,2
0.699088204935169,0.255440343947502,2
0.755445109085096,0.201442258002219,2
0.663726710153917,0.321030458015459,2
0.631017392120556,0.205328856263826,2
0.676434466382068,0.256221353720491,2
0.632646966994877,0.213061827378393,2
0.766131701941303,0.166863164818326,2
0.750554939384663,0.24326769534117,2
0.671600605003307,0.202180372395697,2
0.653761329046638,0.206168167474227,2
0.631587768672825,0.162975599047649,2
0.733877817852103,0.175967329705715,2
0.603591892239473,0.236172317106725,2
0.752093535535618,0.132702697756424,2
0.618394753231428,0.27395532461193,2
0.700890613614024,0.115126491360926,2
0.675965850957794,0.289945284570232,2
0.707699336254554,0.227872345385359,2
0.77253144159116,0.158157675308666,2
0.611882300651865,0.253208054973381,2
0.658781739669122,0.278721858138295,2
0.636317674516087,0.203512915512452,2
0.703810774144829,0.185857064033531,2
0.668745491056621,0.298147268461543,2
0.727502899885037,0.166504782098565,2
0.706467529398714,0.287681510068338,2
0.758087274299095,0.230323059515006,2
0.741533792648972,0.222084010806943,2
0.684741195146439,0.222135307742822,2
0.739965858413725,0.162471066285705,2
0.753415631967898,0.203645592386253,2
0.793975436459593,0.205968757714715,2
0.679990101325672,0.277475244686483,2
0.695173200276078,0.304984534790871,2
0.682458210062354,0.118813615747489,2
0.756324247631738,0.294183180861765,2
0.741185194536047,0.278560591083787,2
0.629020621903758,0.261516502806868,2
0.696572056104459,0.142315499001763,2
0.698638432682871,0.32904436854787,2
0.763564701297674,0.205277104774524,2
0.762303130275854,0.163284955891695,2
0.673525757412188,0.227413173750783,2
0.609913717652513,0.698288507009424,3
0.490584271012402,0.712881108551775,3
0.514927885142916,0.633521091298373,3
0.432456745234554,0.638028981025814,3
0.560975308121448,0.624224170504445,3
0.387063063952885,0.7434177308777,3
0.518812774146435,0.706497263685713,3
0.47372184163382,0.749789247704698,3
0.393331104364652,0.713489628780447,3
0.380172953373489,0.732417488906891,3
0.560400272631572,0.711151260023469,3
0.540970538927957,0.70013806315694,3
0.551804878520577,0.753042176032024,3
0.483566849253332,0.762816837925919,3
0.508731721695704,0.762763819506269,3
0.489667011786999,0.666327505709147,3
0.422336713010396,0.753912625556109,3
0.601810196542458,0.773054389069436,3
0.414514597125571,0.727359292968739,3
0.425890295906101,0.636457724714292,3
0.381593144274781,0.728045716455004,3
0.487742580918338,0.643750395221791,3
0.443678502117836,0.699988493477967,3
0.530465246729222,0.627297144142818,3
0.605363336299875,0.660967157773059,3
0.460643115924653,0.757780296904654,3
0.481268321050612,0.664346549382061,3
0.527124532970325,0.624349107221297,3
0.598189263143187,0.719349533750946,3
0.385474803333806,0.641482255786302,3
