"V1","V2"
0.0940658220633106,0.0922515821602138
0.159034579408052,0.245618848263751
0.133615156918333,0.279821254787811
0.029087916369968,0.10785702562568
0.0627577878193076,0.0519565374551342
0.0105695931395327,0.0899313661981147
0.0689190670455705,0.152776293606786
0.0906780547003206,0.211116122332173
0.0766784664382891,0.186486583405768
0.160904693729489,0.202784315599705
0.111211880414523,0.265330978724997
0.135212661370457,0.25483167762775
0.100681707121962,0.271113560830586
0.134053249414957,0.0968272445145973
0.0867017563464714,0.0787347942181894
0.0617303066084569,0.202477954798023
0.147892084506418,0.193852080028604
0.131062664894129,0.163052980703825
0.076329565268476,0.00883099969438755
0.170737883859594,0.0774784482387496
0.0272612567972,0.0930207589481882
0.123851286668116,0.290995682029689
0.141757648266707,0.167746575399026
0.0867817485287399,0.279191552707483
0.036598924807708,0.0535922623631388
0.146283516476496,0.13173624603883
0.0819674531413446,0.263295718148633
0.0473084409749335,0.187260622710267
0.0471365939549749,0.198584508354579
0.126132149036689,0.104529966414102
0.184169267026743,0.132495807660876
0.0520348532365985,0.133615141633938
0.10983036985644,0.0172392135925228
0.150907602817039,0.188918227303132
0.181971046749106,0.0793287082591822
0.062397788182358,0.275949690632902
0.14076211454281,0.1803097206287
0.0702807124208957,0.0739145427587181
0.135587944195448,0.166028154861194
0.0947152825430482,0.11663462525998
0.0630689606079015,0.247164318259075
0.152048144281768,0.0234257903350238
0.13944560642259,0.153397474767662
0.0271091398028103,0.0562206891127224
0.160097288882426,0.0611664397646781
0.109206730441366,0.240508164804232
0.184174114213274,0.206292618168639
0.0679829763310983,0.194701585444119
0.100908404570154,0.0893160997988577
0.0064573156593945,0.120680598956379
0.0543066705926903,0.268240826012798
0.129421700414687,0.200508016185138
0.171226186156489,0.14651328702589
0.183878628254617,0.0901152677428289
0.0961253815693441,0.0417513023490123
0.160762827313246,0.0817214049671799
0.101884900352675,0.268484877223939
0.0168473500444071,0.155251182662616
0.0775668066533851,0.224826581908334
0.0215715999858082,0.158226940651173
0.0899081891372269,0.0610829317532287
0.139506810477116,0.238187056689675
0.015680341263541,0.136851984969699
0.038822700772131,0.127791376506618
0.0692604925510251,0.0958537372491436
0.169952450362273,0.152986533329836
0.103505948501314,0.206274227880999
0.163206047138334,0.0547198734794819
0.0817439815422209,0.0304130921804043
0.110975532032443,0.259446164054065
0.043717671922257,0.0689202960703938
0.184170886869087,0.103045117918928
0.124304149424246,0.185634105886258
0.0336019797352011,0.0921808481379493
0.0302198268865571,0.0921860185841069
0.149113196202477,0.141011679500569
0.137022281262195,0.200126391354931
0.0351352542722612,0.144938514751591
0.113314721807219,0.08865185759726
0.0848776032718362,0.0184814125446665
