"seed","data","criterion","geom_threshold","warm_start","method","K","silhouette","dunn","ari_true","runtime","filename"
1,"Atom","dunnindex",0,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed1-geom0.0-ws_none"
1,"Atom","dunnindex",0,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4518.539441805,"Atom-dunnindex-seed1-geom0.0-ws_none"
1,"Atom","dunnindex",0,"none","OCT",3,0.441534002314097,0.0536282032498416,-10,0.450188106,"Atom-dunnindex-seed1-geom0.0-ws_none"
1,"Atom","dunnindex",0,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.527619411,"Atom-dunnindex-seed1-geom0.0-ws_none"
1,"Atom","dunnindex",0,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.300692113,"Atom-dunnindex-seed1-geom0.0-ws_none"
1,"Atom","dunnindex",0,"none","gmm",8,0.567081024472932,0.0471970472863335,-10,0.258565952,"Atom-dunnindex-seed1-geom0.0-ws_none"
1,"Atom","dunnindex",0,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.283528293,"Atom-dunnindex-seed1-geom0.0-ws_none"
1,"Atom","dunnindex",0,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed1-geom0.0-ws_oct"
1,"Atom","dunnindex",0,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,10337.777799359,"Atom-dunnindex-seed1-geom0.0-ws_oct"
1,"Atom","dunnindex",0,"oct","OCT",3,0.439029119024985,0.032130460379548,-10,0.402541445,"Atom-dunnindex-seed1-geom0.0-ws_oct"
1,"Atom","dunnindex",0,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,4.35364578,"Atom-dunnindex-seed1-geom0.0-ws_oct"
1,"Atom","dunnindex",0,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.299792328,"Atom-dunnindex-seed1-geom0.0-ws_oct"
1,"Atom","dunnindex",0,"oct","gmm",8,0.567081024472932,0.0471970472863335,-10,0.253750724,"Atom-dunnindex-seed1-geom0.0-ws_oct"
1,"Atom","dunnindex",0,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.103286498,"Atom-dunnindex-seed1-geom0.0-ws_oct"
1,"Atom","dunnindex",0.9,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed1-geom0.9-ws_none"
1,"Atom","dunnindex",0.9,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,2244.998831406,"Atom-dunnindex-seed1-geom0.9-ws_none"
1,"Atom","dunnindex",0.9,"none","OCT",3,0.441534002314097,0.0536282032498416,-10,0.47135452,"Atom-dunnindex-seed1-geom0.9-ws_none"
1,"Atom","dunnindex",0.9,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.538229255,"Atom-dunnindex-seed1-geom0.9-ws_none"
1,"Atom","dunnindex",0.9,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.197796663,"Atom-dunnindex-seed1-geom0.9-ws_none"
1,"Atom","dunnindex",0.9,"none","gmm",8,0.567081024472932,0.0471970472863335,-10,0.257077916,"Atom-dunnindex-seed1-geom0.9-ws_none"
1,"Atom","dunnindex",0.9,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.312423832,"Atom-dunnindex-seed1-geom0.9-ws_none"
1,"Atom","dunnindex",0.9,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed1-geom0.9-ws_oct"
1,"Atom","dunnindex",0.9,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,1516.3768377,"Atom-dunnindex-seed1-geom0.9-ws_oct"
1,"Atom","dunnindex",0.9,"oct","OCT",3,0.439029119024985,0.032130460379548,-10,0.401858273,"Atom-dunnindex-seed1-geom0.9-ws_oct"
1,"Atom","dunnindex",0.9,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,4.408990396,"Atom-dunnindex-seed1-geom0.9-ws_oct"
1,"Atom","dunnindex",0.9,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.258938401,"Atom-dunnindex-seed1-geom0.9-ws_oct"
